Date,Open,High,Low,Close,Adj Close,Volume
2011-11-14,180.85086059570312,181.49139404296875,178.6328887939453,179.11090087890625,113.56233215332031,6316376
2011-11-15,179.24473571777344,181.6156768798828,177.47610473632812,180.44932556152344,114.4109878540039,4796224
2011-11-16,179.5602264404297,181.5487518310547,178.10707092285156,178.41299438476562,113.11983489990234,4829173
2011-11-17,178.5946502685547,180.52581787109375,175.32504272460938,177.5621337890625,112.58039093017578,6109163
2011-11-18,178.49903869628906,178.7476043701172,176.53919982910156,177.09368896484375,112.28338623046875,4645181
2011-11-21,175.30592346191406,175.86997985839844,172.08413696289062,173.49903869628906,110.00424194335938,5381775
2011-11-22,174.2064971923828,174.93307495117188,172.3613739013672,173.33651733398438,109.90119934082031,4370816
2011-11-23,172.72467041015625,173.50860595703125,169.71319580078125,170.12428283691406,107.86454772949219,5021741
2011-11-25,170.181640625,171.66348266601562,169.27342224121094,169.27342224121094,107.32504272460938,2335509
2011-11-28,174.67495727539062,174.88528442382812,172.72467041015625,174.1969451904297,110.44676208496094,4732313
2011-11-29,174.01528930664062,175.24856567382812,172.88719177246094,172.9827880859375,109.67691802978516,3830034
2011-11-30,176.45315551757812,180.06692504882812,176.10899353027344,179.73231506347656,113.95633697509766,8197293
2011-12-01,178.78585815429688,181.63479614257812,178.55641174316406,181.11854553222656,114.83526611328125,5082305
2011-12-02,181.56787109375,182.91586303710938,181.11854553222656,181.31930541992188,114.9625473022461,5190461
2011-12-05,182.7724609375,185.09559631347656,182.0076446533203,182.44741821289062,115.67781066894531,5961572
2011-12-06,182.26577758789062,185.0191192626953,181.95028686523438,184.45506286621094,116.95073699951172,4335565
2011-12-07,183.54684448242188,186.32887268066406,182.86807250976562,185.51625061035156,117.62354278564453,5315458
2011-12-08,184.01528930664062,185.27725219726562,182.66729736328125,183.15487670898438,116.12635040283203,4569974
2011-12-09,184.4263916015625,186.30018615722656,183.93881225585938,186.0038299560547,117.93272399902344,5070903
2011-12-12,185.12428283691406,185.3728485107422,182.81069946289062,183.72848510742188,116.49003601074219,3970721
2011-12-13,184.9521942138672,185.75526428222656,182.25621032714844,182.74378967285156,115.86572265625,5238786
2011-12-14,181.49139404296875,181.91204833984375,179.73231506347656,180.420654296875,114.3927993774414,5290354
